SampleID	NERR	prev_sample_name	Quarter_txt	Quarter_num	Replicate	SampleSite	NERR_TYPE	NERR_LONG	SITE	LAT	LONG	HAB_TYPE	Region	Ocean	North_South	input	filtered	percentage_of_input_passed_filter	denoised	merged	percentage_of_input_merged	nonchimeric	percentage_of_input_nonchimeric	Site_Corrected	NERR_SITE_QTR	NERR_SITE_QTR_REP	SWMP_ID	datenum	yr	mnth	day	lub_date	met	StationCode	isSWMP	DateTimeStamp	Temp	SpCond	Sal	DO_pct	DO_mgl	Depth	pH	Turb	min_since_wc	ATemp	WSpd	MaxWSpd	TotPAR	TotPrcp	min_since_met	PO4F	NH4F	NO23F	CHLA_N	min_since_nut	sal_range
AB181w0523232	AB	AB181w0523232	May_23	1	2	181	AB181	East_Bay_Surface_181	EB	29.6747	-85.0584	estuary_bottom_type_clayey_sand	SE	Gulf	South	180738	177644	98.29	177203	176114	97.44	174697	96.66	AB181	AB181_Q5	AB181_Q5_2	APAEB	52323	23	5	23	5/23/23	apaebmet	apaebwq	P	1684831500	NA	NA	NA	34	2.6	NA	7.1	21	4	23.8	3.9	5.4	NA	0	4	0.006	0.084	0.004	22	10020	NA
AB181w0523233	AB	AB181w0523233	May_23	1	3	181	AB181	East_Bay_Surface_181	EB	29.6747	-85.0584	estuary_bottom_type_clayey_sand	SE	Gulf	South	170144	167513	98.45	166931	165622	97.34	164826	96.87	AB181	AB181_Q5	AB181_Q5_3	APAEB	52323	23	5	23	5/23/23	apaebmet	apaebwq	P	1684831500	NA	NA	NA	34	2.6	NA	7.1	21	3	23.8	3.9	5.4	NA	0	3	0.006	0.084	0.004	22	10019	NA
AB221w0523231	AB	AB221w0523231	May_23	1	1	221	AB221	Cat_Point_221	CP	29.7021	-84.8802	estuary_bottom_type_oyster_bar	SE	Gulf	South	169673	167300	98.6	166053	162776	95.94	161313	95.07	AB221	AB221_Q5	AB221_Q5_1	APACP	52323	23	5	23	5/23/23	apacpmet	apacpwq	P	1684832400	27.8	38.9	24.7	91.3	6.2	NA	8.1	28	6	NA	NA	NA	NA	NA	NA	0.004	0.01	0.037	12	10066	SW
AB221w0523232	AB	AB221w0523232	May_23	1	2	221	AB221	Cat_Point_221	CP	29.7021	-84.8802	estuary_bottom_type_oyster_bar	SE	Gulf	South	211454	208206	98.46	206766	202685	95.85	200977	95.05	AB221	AB221_Q5	AB221_Q5_2	APACP	52323	23	5	23	5/23/23	apacpmet	apacpwq	P	1684832400	27.8	38.9	24.7	91.3	6.2	NA	8.1	28	7	NA	NA	NA	NA	NA	NA	0.004	0.01	0.037	12	10065	SW
AB221w0523233	AB	AB221w0523233	May_23	1	3	221	AB221	Cat_Point_221	CP	29.7021	-84.8802	estuary_bottom_type_oyster_bar	SE	Gulf	South	112548	110621	98.29	109723	107883	95.86	106978	95.05	AB221	AB221_Q5	AB221_Q5_3	APACP	52323	23	5	23	5/23/23	apacpmet	apacpwq	P	1684833300	27.9	39.15	24.9	90.8	6.2	NA	8.1	39	7	NA	NA	NA	NA	NA	NA	0.004	0.01	0.037	12	10064	SW
GBGBw0508231	GB	GBGBw0508231	May_23	1	1	GB	GBGB	Great_Bay	GB	43.0722	-70.8694	Estuary	NE	Atlantic	North	172240	169551	98.44	168831	167295	97.13	164864	95.72	GBGB	GBGB_Q5	GBGB_Q5_1	GRBGB	50823	23	5	8	5/8/23	grbgbmet	grbgbwq	P	1683533700	14.5	15.97	9.4	91.8	8.8	5.33	7.5	5	5	NA	NA	NA	NA	NA	NA	0.012	0.084	0.072	3.97	0	BRKSH
GBGBw0508232	GB	GBGBw0508232	May_23	1	2	GB	GBGB	Great_Bay	GB	43.0722	-70.8694	Estuary	NE	Atlantic	North	164450	162798	99	162430	161225	98.04	159122	96.76	GBGB	GBGB_Q5	GBGB_Q5_2	GRBGB	50823	23	5	8	5/8/23	grbgbmet	grbgbwq	P	1683533700	14.5	15.97	9.4	91.8	8.8	5.33	7.5	5	5	NA	NA	NA	NA	NA	NA	0.012	0.084	0.072	3.97	0	BRKSH
GBGBw0508233	GB	GBGBw0508233	May_23	1	3	GB	GBGB	Great_Bay	GB	43.0722	-70.8694	Estuary	NE	Atlantic	North	48487	48006	99.01	47649	47146	97.23	46745	96.41	GBGB	GBGB_Q5	GBGB_Q5_3	GRBGB	50823	23	5	8	5/8/23	grbgbmet	grbgbwq	P	1683533700	14.5	15.97	9.4	91.8	8.8	5.33	7.5	5	5	NA	NA	NA	NA	NA	NA	0.012	0.084	0.072	3.97	0	BRKSH
GBLRw0508231	GB	GBLRw0508231	May_23	1	1	LR	GBLR	Lamprey_River	LR	43.08	-70.9344	Tidal_River_head_of_tide	NE	Atlantic	North	76394	74494	97.51	73221	71134	93.11	70657	92.49	GBLR	GBLR_Q5	GBLR_Q5_1	GRBLR	50823	23	5	8	5/8/23	grblrmet	grblrwq	P	1683534600	15.5	0.12	0.1	103.5	10.3	1.08	6.8	2	5	NA	NA	NA	NA	NA	NA	0.014	0.02	0.059	1.76	0	FW
GBLRw0508232	GB	GBLRw0508232	May_23	1	2	LR	GBLR	Lamprey_River	LR	43.08	-70.9344	Tidal_River_head_of_tide	NE	Atlantic	North	18367	18154	98.84	17643	16002	87.12	15952	86.85	GBLR	GBLR_Q5	GBLR_Q5_2	GRBLR	50823	23	5	8	5/8/23	grblrmet	grblrwq	P	1683534600	15.5	0.12	0.1	103.5	10.3	1.08	6.8	2	5	NA	NA	NA	NA	NA	NA	0.014	0.02	0.059	1.76	0	FW
GBORw0508231	GB	GBORw0508231	May_23	1	1	OR	GBOR	Oyster_River	OR	43.134	-70.911	Tidal_River_head_of_tide	NE	Atlantic	North	50363	49569	98.42	49049	48304	95.91	48095	95.5	GBOR	GBOR_Q5	GBOR_Q5_1	GRBOR	50823	23	5	8	5/8/23	grbormet	grborwq	P	1683531000	14.8	14.69	8.6	83.4	8	0.95	7.3	18	5	NA	NA	NA	NA	NA	NA	0.036	0.08	0.091	1.97	0	BRKSH
GBORw0508232	GB	GBORw0508232	May_23	1	2	OR	GBOR	Oyster_River	OR	43.134	-70.911	Tidal_River_head_of_tide	NE	Atlantic	North	160336	157902	98.48	157322	155822	97.18	154970	96.65	GBOR	GBOR_Q5	GBOR_Q5_2	GRBOR	50823	23	5	8	5/8/23	grbormet	grborwq	P	1683531000	14.8	14.69	8.6	83.4	8	0.95	7.3	18	5	NA	NA	NA	NA	NA	NA	0.036	0.08	0.091	1.97	0	BRKSH
GBORw0508233	GB	GBORw0508233	May_23	1	3	OR	GBOR	Oyster_River	OR	43.134	-70.911	Tidal_River_head_of_tide	NE	Atlantic	North	123885	122304	98.72	121819	120985	97.66	120315	97.12	GBOR	GBOR_Q5	GBOR_Q5_3	GRBOR	50823	23	5	8	5/8/23	grbormet	grborwq	P	1683531000	14.8	14.69	8.6	83.4	8	0.95	7.3	18	5	NA	NA	NA	NA	NA	NA	0.036	0.08	0.091	1.97	0	BRKSH
GBSQw0508231	GB	GBSQw0508231	May_23	1	1	SQ	GBSQ	Squamscott_River	SR	43.0524	-70.91181	Estuary_Tide_River_mouth	NE	Atlantic	North	144137	142356	98.76	141084	138615	96.17	137720	95.55	GBSQ	GBSQ_Q5	GBSQ_Q5_1	GRBSQ	50823	23	5	8	5/8/23	grbsqmet	grbsqwq	P	1683531900	15.6	1.4	0.7	85.4	8.5	1.35	7	32	0	NA	NA	NA	NA	NA	NA	0.032	0.037	0.074	4.3	0	FW
GBSQw0508232	GB	GBSQw0508232	May_23	1	2	SQ	GBSQ	Squamscott_River	SR	43.0524	-70.91181	Estuary_Tide_River_mouth	NE	Atlantic	North	222895	219706	98.57	218236	214669	96.31	212922	95.53	GBSQ	GBSQ_Q5	GBSQ_Q5_2	GRBSQ	50823	23	5	8	5/8/23	grbsqmet	grbsqwq	P	1683531900	15.6	1.4	0.7	85.4	8.5	1.35	7	32	0	NA	NA	NA	NA	NA	NA	0.032	0.037	0.074	4.3	0	FW
GBSQw0508233	GB	GBSQw0508233	May_23	1	3	SQ	GBSQ	Squamscott_River	SR	43.0524	-70.91181	Estuary_Tide_River_mouth	NE	Atlantic	North	179104	176520	98.56	175114	172190	96.14	171105	95.53	GBSQ	GBSQ_Q5	GBSQ_Q5_3	GRBSQ	50823	23	5	8	5/8/23	grbsqmet	grbsqwq	P	1683531900	15.6	1.4	0.7	85.4	8.5	1.35	7	32	0	NA	NA	NA	NA	NA	NA	0.032	0.037	0.074	4.3	0	FW
HEABw0504231	HE	HEABw0504231	May_23	1	1	AB	HEAB	Alaloa_Bridge	AB	21.42387	-157.8107	Freshwater_upstream_bottom_type_concrete	Pacific-Island	Pacific	South	127518	125964	98.78	125147	122347	95.94	121918	95.61	HEAB	HEAB_Q5	HEAB_Q5_1	NA	50423	23	5	4	5/4/23	met	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEABw0504232	HE	HEABw0504232	May_23	1	2	AB	HEAB	Alaloa_Bridge	AB	21.42387	-157.8107	Freshwater_upstream_bottom_type_concrete	Pacific-Island	Pacific	South	39975	39270	98.24	38489	36937	92.4	36862	92.21	HEAB	HEAB_Q5	HEAB_Q5_2	NA	50423	23	5	4	5/4/23	met	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEABw0504233	HE	HEABw0504233	May_23	1	3	AB	HEAB	Alaloa_Bridge	AB	21.42387	-157.8107	Freshwater_upstream_bottom_type_concrete	Pacific-Island	Pacific	South	26176	25842	98.72	25416	24496	93.58	24449	93.4	HEAB	HEAB_Q5	HEAB_Q5_3	NA	50423	23	5	4	5/4/23	met	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEKKw0504231	HE	HEKKw0504231	May_23	1	1	KK	HEKK	Kahookele	KK	21.435884	-157.80521	Marine_bottom_type_sand	Pacific-Island	Pacific	South	158646	156910	98.91	155998	154017	97.08	152600	96.19	HEKK	HEKK_Q5	HEKK_Q5_1	HEEKK	50423	23	5	4	5/4/23	heekkmet	heekkwq	P	1683182700	24.2	48.6	31.7	70.2	4.9	0.64	8	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW
HEKKw0504232	HE	HEKKw0504232	May_23	1	2	KK	HEKK	Kahookele	KK	21.435884	-157.80521	Marine_bottom_type_sand	Pacific-Island	Pacific	South	101761	100179	98.45	99725	98744	97.04	98189	96.49	HEKK	HEKK_Q5	HEKK_Q5_2	HEEKK	50423	23	5	4	5/4/23	heekkmet	heekkwq	P	1683183600	24.1	48.4	31.6	72.3	5.1	0.62	8	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW
HEKKw0504233	HE	HEKKw0504233	May_23	1	3	KK	HEKK	Kahookele	KK	21.435884	-157.80521	Marine_bottom_type_sand	Pacific-Island	Pacific	South	130259	128618	98.74	127898	126487	97.1	125445	96.3	HEKK	HEKK_Q5	HEKK_Q5_3	HEEKK	50423	23	5	4	5/4/23	heekkmet	heekkwq	P	1683183600	24.1	48.4	31.6	72.3	5.1	0.62	8	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW
HEPHw0504231	HE	HEPHw0504231	May_23	1	1	PH	HEPH	Papahana	PH	21.40926	-157.8231	Freshwater_upstream_bottom_type_rock_dirt	Pacific-Island	Pacific	South	23524	23140	98.37	22662	21489	91.35	21460	91.23	HEPH	HEPH_Q5	HEPH_Q5_1	HEEPH	50423	23	5	4	5/4/23	heephmet	heephwq	P	1683189000	20.6	0.16	0.1	98.4	8.8	0.46	7.7	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FW
HEPHw0504232	HE	HEPHw0504232	May_23	1	2	PH	HEPH	Papahana	PH	21.40926	-157.8231	Freshwater_upstream_bottom_type_rock_dirt	Pacific-Island	Pacific	South	36817	36168	98.24	35312	33427	90.79	33218	90.22	HEPH	HEPH_Q5	HEPH_Q5_2	HEEPH	50423	23	5	4	5/4/23	heephmet	heephwq	P	1683189000	20.6	0.16	0.1	98.4	8.8	0.46	7.7	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FW
HEPHw0504233	HE	HEPHw0504233	May_23	1	3	PH	HEPH	Papahana	PH	21.40926	-157.8231	Freshwater_upstream_bottom_type_rock_dirt	Pacific-Island	Pacific	South	2886	2574	89.19	1935	1444	50.03	1444	50.03	HEPH	HEPH_Q5	HEPH_Q5_3	HEEPH	50423	23	5	4	5/4/23	heephmet	heephwq	P	1683189900	20.6	0.16	0.1	98.8	8.9	0.46	7.7	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FW
HER9w0505231	HE	HER9w0505231	May_23	1	1	R9	HER9	Reef_9	R9	21.44634	-157.80186	Marine_bottom_type_sand_coral	Pacific-Island	Pacific	South	226496	223666	98.75	222935	218991	96.69	217650	96.09	HER9	HER9_Q5	HER9_Q5_1	HEER9	50523	23	5	5	5/5/23	heer9met	heer9wq	P	1683270900	25.3	53.04	35	93.4	6.3	2.18	8.1	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW
HER9w0505232	HE	HER9w0505232	May_23	1	2	R9	HER9	Reef_9	R9	21.44634	-157.80186	Marine_bottom_type_sand_coral	Pacific-Island	Pacific	South	156453	154613	98.82	154081	152228	97.3	151484	96.82	HER9	HER9_Q5	HER9_Q5_2	HEER9	50523	23	5	5	5/5/23	heer9met	heer9wq	P	1683270900	25.3	53.04	35	93.4	6.3	2.18	8.1	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW
HER9w0505233	HE	HER9w0505233	May_23	1	3	R9	HER9	Reef_9	R9	21.44634	-157.80186	Marine_bottom_type_sand_coral	Pacific-Island	Pacific	South	133082	129816	97.55	129310	127622	95.9	126875	95.34	HER9	HER9_Q5	HER9_Q5_3	HEER9	50523	23	5	5	5/5/23	heer9met	heer9wq	P	1683270900	25.3	53.04	35	93.4	6.3	2.18	8.1	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW
HEW2w0504231	HE	HEW2w0504231	May_23	1	1	W2	HEW2	Wai_2	W2	21.43828	-157.81093	Estuary_downstream_bottom_type_mud	Pacific-Island	Pacific	South	89446	88268	98.68	85998	77729	86.9	77282	86.4	HEW2	HEW2_Q5	HEW2_Q5_1	HEEW2	50423	23	5	4	5/4/23	heew2met	heew2wq	P	1683182700	23.1	0.23	0.1	18.4	1.6	0.27	6.9	20	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FW
HEW2w0504232	HE	HEW2w0504232	May_23	1	2	W2	HEW2	Wai_2	W2	21.43828	-157.81093	Estuary_downstream_bottom_type_mud	Pacific-Island	Pacific	South	153366	151540	98.81	147948	141388	92.19	139462	90.93	HEW2	HEW2_Q5	HEW2_Q5_2	HEEW2	50423	23	5	4	5/4/23	heew2met	heew2wq	P	1683183600	23	0.23	0.1	90.9	7.8	0.27	7	53	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FW
HEW2w0504233	HE	HEW2w0504233	May_23	1	3	W2	HEW2	Wai_2	W2	21.43828	-157.81093	Estuary_downstream_bottom_type_mud	Pacific-Island	Pacific	South	87890	86357	98.26	84036	80394	91.47	79931	90.94	HEW2	HEW2_Q5	HEW2_Q5_3	HEEW2	50423	23	5	4	5/4/23	heew2met	heew2wq	P	1683183600	23	0.23	0.1	90.9	7.8	0.27	7	53	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FW
